 
 ETABS v9.6.0  File:EXAM06-2  Units:N-mm  May 30, 2023 16:01  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Point3:  Joint 3  Story STORY4  Displacement  UX
 
       TIME    FUNCTION
                 Point3
    0.00000     0.00000
    0.02000    -0.00610
    0.04000    -0.02881
    0.06000    -0.03640
    0.08000    -0.01019
    0.10000     0.05054
    0.12000     0.13043
    0.14000     0.19486
    0.16000     0.25076
    0.18000     0.31848
    0.20000     0.38337
    0.22000     0.45026
    0.24000     0.52978
    0.26000     0.62110
    0.28000     0.69142
    0.30000     0.74378
    0.32000     0.80397
    0.34000     0.87891
    0.36000     0.95984
    0.38000     1.04568
    0.40000     1.13570
    0.42000     1.21299
    0.44000     1.28159
    0.46000     1.35501
    0.48000     1.44762
    0.50000     1.55133
    0.52000     1.64540
    0.54000     1.74453
    0.56000     1.85288
    0.58000     1.96864
    0.60000     2.10252
    0.62000     2.26887
    0.64000     2.43205
    0.66000     2.55662
    0.68000     2.68473
    0.70000     2.84036
    0.72000     3.00703
    0.74000     3.18250
    0.76000     3.39942
    0.78000     3.63383
    0.80000     3.86412
    0.82000     4.08894
    0.84000     4.26645
    0.86000     4.37761
    0.88000     4.42469
    0.90000     4.43015
    0.92000     4.42338
    0.94000     4.40122
    0.96000     4.40447
    0.98000     4.47979
    1.00000     4.63405
    1.02000     4.87457
    1.04000     5.16021
    1.06000     5.48215
    1.08000     5.84744
    1.10000     6.28978
    1.12000     6.83075
    1.14000     7.41606
    1.16000     8.03312
    1.18000     8.67003
    1.20000     9.30546
    1.22000     9.92928
    1.24000    10.52449
    1.26000    11.09617
    1.28000    11.55185
    1.30000    11.77353
    1.32000    11.79546
    1.34000    11.72022
    1.36000    11.58308
    1.38000    11.42219
    1.40000    11.31876
    1.42000    11.31923
    1.44000    11.41932
    1.46000    11.65052
    1.48000    12.00892
    1.50000    12.41372
    1.52000    12.83559
    1.54000    13.30610
    1.56000    13.80470
    1.58000    14.23060
    1.60000    14.48981
    1.62000    14.56562
    1.64000    14.52558
    1.66000    14.40076
    1.68000    14.17817
    1.70000    13.88235
    1.72000    13.53799
    1.74000    13.17283
    1.76000    12.89427
    1.78000    12.79631
    1.80000    12.89593
    1.82000    13.17181
    1.84000    13.53780
    1.86000    13.91037
    1.88000    14.24920
    1.90000    14.59261
    1.92000    14.93470
    1.94000    15.19375
    1.96000    15.32243
    1.98000    15.30751
    2.00000    15.10077
    2.02000    14.68325
    2.04000    14.10072
    2.06000    13.36882
    2.08000    12.44160
    2.10000    11.28844
    2.12000     9.89743
    2.14000     8.24813
    2.16000     6.23400
    2.18000     3.69184
    2.20000     0.55722
    2.22000    -2.98591
    2.24000    -6.75477
    2.26000   -10.74149
    2.28000   -14.87862
    2.30000   -18.98202
    2.32000   -22.86011
    2.34000   -26.30440
    2.36000   -29.20778
    2.38000   -31.82232
    2.40000   -34.69602
    2.42000   -38.26074
    2.44000   -42.60918
    2.46000   -47.69615
    2.48000   -53.53101
    2.50000   -59.99776
    2.52000   -66.70179
    2.54000   -73.26014
    2.56000   -79.50352
    2.58000   -85.37812
    2.60000   -90.81557
    2.62000   -95.76460
    2.64000  -100.17669
    2.66000  -103.97670
    2.68000  -107.10477
    2.70000  -109.49905
    2.72000  -111.06933
    2.74000  -111.70903
    2.76000  -111.39533
    2.78000  -110.32480
    2.80000  -108.90131
    2.82000  -107.61107
    2.84000  -106.76417
    2.86000  -106.34809
    2.88000  -106.15907
    2.90000  -105.89798
    2.92000  -105.26118
    2.94000  -104.02198
    2.96000  -102.05630
    2.98000   -99.32756
    3.00000   -95.88982
    3.02000   -91.81458
    3.04000   -87.09494
    3.06000   -81.74028
    3.08000   -75.86268
    3.10000   -69.59612
    3.12000   -63.04020
    3.14000   -56.28531
    3.16000   -49.48921
    3.18000   -42.87627
    3.20000   -36.65127
    3.22000   -30.97677
    3.24000   -26.04223
    3.26000   -22.00279
    3.28000   -18.90576
    3.30000   -16.76362
    3.32000   -15.58974
    3.34000   -15.31449
