 
 ETABS v9.7.0  File:EXAM05  Units:N-mm  February 17, 2012 23:51  PAGE 1
 
 T I M E   H I S T O R Y   D A T A 
 
 FUNCTION  Joint4:  Joint 4  Story STORY4  Displacement  UX
 
       TIME    FUNCTION
                 Joint4
    0.00000     0.00000
    0.02000  -8.463E-04
    0.04000    -0.00392
    0.06000    -0.00503
    0.08000    -0.00185
    0.10000     0.00741
    0.12000     0.02240
    0.14000     0.03570
    0.16000     0.04218
    0.18000     0.04065
    0.20000     0.03177
    0.22000     0.02286
    0.24000     0.01809
    0.26000     0.01496
    0.28000     0.00673
    0.30000    -0.00652
    0.32000    -0.02147
    0.34000    -0.03401
    0.36000    -0.03794
    0.38000    -0.03078
    0.40000    -0.01930
    0.42000    -0.01257
    0.44000    -0.00968
    0.46000    -0.00610
    0.48000     0.00173
    0.50000     0.01450
    0.52000     0.02870
    0.54000     0.03970
    0.56000     0.04149
    0.58000     0.03655
    0.60000     0.03394
    0.62000     0.03755
    0.64000     0.03944
    0.66000     0.03254
    0.68000     0.01953
    0.70000     0.00130
    0.72000    -0.01652
    0.74000    -0.02188
    0.76000    -0.01122
    0.78000   7.670E-04
    0.80000     0.00725
    0.82000     0.01052
    0.84000     0.00439
    0.86000    -0.01243
    0.88000    -0.03531
    0.90000    -0.06113
    0.92000    -0.08767
    0.94000    -0.10965
    0.96000    -0.11227
    0.98000    -0.08895
    1.00000    -0.04450
    1.02000     0.01871
    1.04000     0.08891
    1.06000     0.15317
    1.08000     0.20270
    1.10000     0.24018
    1.12000     0.26971
    1.14000     0.28378
    1.16000     0.27938
    1.18000     0.24990
    1.20000     0.18931
    1.22000     0.10410
    1.24000     0.00782
    1.26000    -0.08573
    1.28000    -0.18222
    1.30000    -0.29215
    1.32000    -0.40783
    1.34000    -0.51254
    1.36000    -0.58348
    1.38000    -0.58617
    1.40000    -0.50211
    1.42000    -0.34939
    1.44000    -0.15702
    1.46000     0.06101
    1.48000     0.28476
    1.50000     0.48410
    1.52000     0.64161
    1.54000     0.74193
    1.56000     0.75930
    1.58000     0.67951
    1.60000     0.51200
    1.62000     0.27324
    1.64000    -0.01356
    1.66000    -0.31373
    1.68000    -0.58517
    1.70000    -0.79319
    1.72000    -0.92213
    1.74000    -0.96042
    1.76000    -0.88948
    1.78000    -0.70557
    1.80000    -0.42176
    1.82000    -0.06110
    1.84000     0.32394
    1.86000     0.66382
    1.88000     0.90583
    1.90000     1.03575
    1.92000     1.05450
    1.94000     0.96470
    1.96000     0.77521
    1.98000     0.49119
    2.00000     0.11818
    2.02000    -0.30632
    2.04000    -0.71622
    2.06000    -1.05706
    2.08000    -1.30036
    2.10000    -1.43390
    2.12000    -1.46382
    2.14000    -1.40520
    2.16000    -1.27427
    2.18000    -1.09301
    2.20000    -0.89271
    2.22000    -0.69057
    2.24000    -0.49106
    2.26000    -0.29017
    2.28000    -0.06997
    2.30000     0.17208
    2.32000     0.41998
    2.34000     0.67594
    2.36000     0.94439
    2.38000     1.17836
    2.40000     1.28218
    2.42000     1.16043
    2.44000     0.75858
    2.46000     0.09717
    2.48000    -0.70922
    2.50000    -1.48821
    2.52000    -2.09026
    2.54000    -2.43764
    2.56000    -2.49236
    2.58000    -2.23477
    2.60000    -1.68208
    2.62000    -0.89002
    2.64000     0.07122
    2.66000     1.11063
    2.68000     2.11138
    2.70000     2.97642
    2.72000     3.65366
    2.74000     4.11024
    2.76000     4.30914
    2.78000     4.20966
    2.80000     3.77013
    2.82000     2.95110
    2.84000     1.76622
    2.86000     0.33140
    2.88000    -1.15544
    2.90000    -2.46211
    2.92000    -3.38293
    2.94000    -3.79303
    2.96000    -3.66620
    2.98000    -3.05054
    3.00000    -2.03665
    3.02000    -0.73578
    3.04000     0.72596
    3.06000     2.19527
    3.08000     3.50090
    3.10000     4.48733
    3.12000     5.03766
    3.14000     5.09005
    3.16000     4.64092
    3.18000     3.73081
    3.20000     2.42923
    3.22000     0.83266
    3.24000    -0.93165
    3.26000    -2.70055
    3.28000    -4.29489
    3.30000    -5.55739
    3.32000    -6.37008
    3.34000    -6.65669
    3.36000    -6.38077
    3.38000    -5.54916
    3.40000    -4.22051
    3.42000    -2.51702
    3.44000    -0.62341
    3.46000     1.23406
    3.48000     2.84358
    3.50000     4.05318
    3.52000     4.78016
    3.54000     4.98307
    3.56000     4.65304
    3.58000     3.81284
    3.60000     2.52534
    3.62000     0.91389
    3.64000    -0.83174
    3.66000    -2.50011
    3.68000    -3.91063
    3.70000    -4.91943
    3.72000    -5.40793
    3.74000    -5.29188
    3.76000    -4.53090
    3.78000    -3.16930
    3.80000    -1.38679
    3.82000     0.52818
    3.84000     2.27045
    3.86000     3.62328
    3.88000     4.51838
    3.90000     4.99187
    3.92000     5.10419
    3.94000     4.87906
    3.96000     4.29250
    3.98000     3.32179
    4.00000     2.03337
    4.02000     0.60412
    4.04000    -0.76331
    4.06000    -1.91491
    4.08000    -2.75007
    4.10000    -3.22343
    4.12000    -3.32976
    4.14000    -3.05092
    4.16000    -2.35852
    4.18000    -1.30038
    4.20000    -0.03014
    4.22000     1.24312
    4.24000     2.30264
    4.26000     2.96976
    4.28000     3.15687
    4.30000     2.87741
    4.32000     2.19018
    4.34000     1.16114
    4.36000    -0.12325
    4.38000    -1.54385
    4.40000    -2.96297
    4.42000    -4.23437
    4.44000    -5.21393
    4.46000    -5.78058
    4.48000    -5.84521
    4.50000    -5.34143
    4.52000    -4.25214
    4.54000    -2.65254
    4.56000    -0.71720
    4.58000     1.31688
    4.60000     3.21055
    4.62000     4.78305
    4.64000     5.92947
    4.66000     6.58331
    4.68000     6.67723
    4.70000     6.14436
    4.72000     4.96013
    4.74000     3.19881
    4.76000     1.06187
    4.78000    -1.17633
    4.80000    -3.25104
    4.82000    -4.97402
    4.84000    -6.25017
    4.86000    -7.02450
    4.88000    -7.21743
    4.90000    -6.73708
    4.92000    -5.54965
    4.94000    -3.74316
    4.96000    -1.54451
    4.98000     0.74395
    5.00000     2.84895
    5.02000     4.59018
    5.04000     5.87118
    5.06000     6.62897
    5.08000     6.80994
    5.10000     6.39800
    5.12000     5.45006
    5.14000     4.11022
    5.16000     2.58769
    5.18000     1.09083
    5.20000    -0.22996
    5.22000    -1.28110
    5.24000    -1.99592
    5.26000    -2.32232
    5.28000    -2.22694
    5.30000    -1.71439
    5.32000    -0.84915
    5.34000     0.24582
    5.36000     1.42781
    5.38000     2.57114
    5.40000     3.56621
    5.42000     4.29789
    5.44000     4.64572
    5.46000     4.51096
    5.48000     3.86120
    5.50000     2.76979
    5.52000     1.40624
    5.54000    -0.02632
    5.56000    -1.36214
    5.58000    -2.50092
    5.60000    -3.38832
    5.62000    -3.98024
    5.64000    -4.23128
    5.66000    -4.11874
    5.68000    -3.67708
    5.70000    -3.00861
    5.72000    -2.25266
    5.74000    -1.53407
    5.76000    -0.93042
    5.78000    -0.47869
    5.80000    -0.20556
    5.82000    -0.14316
    5.84000    -0.30738
    5.86000    -0.67478
    5.88000    -1.18345
    5.90000    -1.74895
    5.92000    -2.30214
    5.94000    -2.80812
    5.96000    -3.24462
    5.98000    -3.57451
    6.00000    -3.74061
    6.02000    -3.68446
    6.04000    -3.37708
    6.06000    -2.84410
    6.08000    -2.15290
    6.10000    -1.37859
    6.12000    -0.58449
    6.14000     0.17892
    6.16000     0.86152
    6.18000     1.39855
    6.20000     1.71873
    6.22000     1.77551
    6.24000     1.57565
    6.26000     1.18167
    6.28000     0.68750
    6.30000     0.18653
    6.32000    -0.24840
    6.34000    -0.56805
    6.36000    -0.73782
    6.38000    -0.73134
    6.40000    -0.54154
    6.42000    -0.18988
    6.44000     0.27712
    6.46000     0.80294
    6.48000     1.33905
    6.50000     1.85072
    6.52000     2.30865
    6.54000     2.67481
    6.56000     2.90230
    6.58000     2.95312
    6.60000     2.81852
    6.62000     2.52110
    6.64000     2.10030
    6.66000     1.59498
    6.68000     1.03229
    6.70000     0.43777
    6.72000    -0.14692
